#separator:tab
#html:true
#notetype column:1
#deck column:2
#tags column:10
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	53	Which of the following choices isn't a cloud computing category?<br>	Networking-as-a-Service (NaaS)	NaaS isn't a cloud computing category.		Platform-as-a-Service (PaaS) |&nbsp;Infrastructure-as-a-Service (IaaS) | Software-as-a-Service (SaaS)		cloud_concepts
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	70	<div>To create and use Azure services, you need an Azure subscription.<br></div>	True	To create and use Azure services, you need an Azure subscription.		False		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	71	<div>Cloud computing provides computing services over the internet using a pay-as-you-go pricing model. With this model you typically only pay for the cloud services you use. Which of the following are benefits of the pay-as-you-go pricing model?<br></div><div><div>Select all that apply</div></div>	Lower operating costs |&nbsp;You can scale as your business needs to change | You can run your infrastructure more efficiently			a | b		practice
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	72	<div>In your opinion which of the following statements is true?<br></div>	You need to create an Azure account, and a subscription will be created for you. Once you've created an Azure account, you are free to create additional subscriptions	Once you create an Azure account, a subscription will be created for you and you are then free to create additional subscriptions.		You need to create an Azure subscription and an account will be created for you. Once you've created an Azure subscription you are free to create additional Accounts.		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	73	<div><div><div><div><div>Microsoft offers an Azure Free Account to allow customers to test out various features of their cloud services.</div><div>To sign up for a free account you are required to provide which of the following?</div><div>Select all options that apply.</div></div></div></div></div>	GitHub or Microsoft account username |&nbsp;Phone number |&nbsp;A valid credit card			A non-refundable deposit		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	74	<div><div><div><div><div>Cloud computing provides computing services over the internet using a pay-as-you-go pricing model. Typically, you only pay for the cloud services you use. This pricing model can benefit a company in which of the following ways?</div><div>Select all the options that apply.</div></div></div></div></div>	Operate a more efficient infrastructure | Lower their operating costs |&nbsp;Dynamically scale as your business requirement change	<ul><li>In cloud computing you typically pay only for cloud services you use, which can help you run your infrastructure more efficiently.</li><li>In cloud computing you typically pay only for cloud services you use, which helps you lower your operating costs.</li><li>In cloud computing you typically pay only for cloud services you use, which can help you scale as your business needs change.</li></ul>		Provides a guaranteed annual fixed cost		coursera
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	77	What is an Azure Storage account named storage001 an example of?	a resource&nbsp;	A resource is a manageable item that is available through Azure. Virtual machines, storage accounts, web apps, databases, and virtual networks are examples of resources.		a resource group |&nbsp; a subscription |&nbsp; a resource manager&nbsp;		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	78	Which Azure resource is a software emulation of a physical computer that includes a virtual processor, memory, storage, and networking resources?	a virtual machine	Virtual machines are software emulations of physical computers. They include a virtual processor, memory, storage, and networking resources. Virtual machines host an operating system, and you can install and run software just like on a physical computer.		an App Service | a function | a container		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	79	Which Azure Blob storage tier stores data offline and offers the lowest storage costs and the highest costs to access data?	Archive	The Archive storage tier stores data offline and offers the lowest storage costs, but also the highest costs to rehydrate and access data. The Hot storage tier is optimized for storing data that is accessed frequently. Data in the Cool access tier can tolerate slightly lower availability, but still requires high durability, retrieval latency, and throughput characteristics similar to hot data.		Hot | Cool		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	80	Which two scenarios are common use cases for Azure Blob storage? Each correct answer presents a complete solution.	serving images or documents directly to a browser |&nbsp;storing data for backup and restore	Low storage costs and unlimited file formats make blob storage a good location to store backups and archives. Blob storage can be reached from anywhere by using an internet connection. Azure Disk Storage provides disks for Azure virtual machines. Azure Files supports mounting file storage shares.		hosting ASPX files for a website |&nbsp;mounting a file storage share to be accessed as a virtual drive on multiple virtual machines		practice-exam
Multiple Choice (optional reversed card)+++++	Practice Assessment for Exam AZ-900: Microsoft Azure Fundamentals	81	Which Azure Blob storage service tier has the highest storage costs and the fastest access times for reading and writing data?	Hot	The Hot tier is optimized for storing data that is accessed frequently. The Cool access tier has a slightly lower availability SLA and higher access costs compared to hot data, which are acceptable trade-offs for lower storage costs. Archive storage stores data offline and offers the lowest storage costs, but also the highest costs to rehydrate and access data.		Cool | Archive		practice-exam
